CustomerID,FirstName,LastName,Date_of_Birth,City,State,Country,PostalCode,Phone,Email,DateEntered
57081,James,Smith,1987-03-26 00:00:00,New York,New York,United States,280862,9638483934,James.Smith@gmail.com,2020-01-02 00:00:00
57082,Robert,Downey Jr,1973-05-24 00:00:00,New York,New York,United States,376573,6588282115,Robert.Downey Jr@gmail.com,2020-01-06 00:00:00
57083,John,Williams,1990-04-14 00:00:00,Chicago,Illinois,United States,485629,7641021429,John.Williams@gmail.com,2020-01-11 00:00:00
57084,Michael,Johnson,1953-03-25 00:00:00,Brisbane,Queensland,Australia,260866,7354232181,Michael.Johnson@gmail.com,2020-01-16 00:00:00
57085,Steve,Williams,1971-04-24 00:00:00,Bremen,Bremen,Germany,740338,6285552036,Steve.Williams@gmail.com,2020-01-17 00:00:00
57086,David,Beckham,1965-10-18 00:00:00,Villach,Carinthia,Austria,621492,7756781677,David.Beckham@gmail.com,2020-01-20 00:00:00
57087,Richard,Brown,1958-12-16 00:00:00,San Antonio,Texas,United States,110945,8420993031,Richard.Brown@gmail.com,2020-01-20 00:00:00
57088,Joseph,James,1967-08-27 00:00:00,Amsterdam,North Holland,Netherlands,186896,6691466381,Joseph.James@gmail.com,2020-01-25 00:00:00
57089,Thomas,Jones,1950-04-30 00:00:00,Dallas,Texas,United States,174080,8024463594,Thomas.Jones@gmail.com,2020-01-26 00:00:00
57090,Charles,King,1993-06-24 00:00:00,Warsaw,Masovian,Poland,589838,8498546902,Charles.King@gmail.com,2020-01-27 00:00:00
57091,Christopher,Garcia,1988-03-21 00:00:00,Austin,Texas,United States,772795,9610580408,Christopher.Garcia@gmail.com,2020-02-03 00:00:00
57092,Daniel,Rensch,1966-02-10 00:00:00,Dublin,Dublin,Ireland,189723,7947018222,Daniel.Rensch@gmail.com,2020-02-03 00:00:00
57093,Matthew,Miller,1971-06-03 00:00:00,Brisbane,Queensland,Australia,901170,7764122382,Matthew.Miller@gmail.com,2020-02-04 00:00:00
57094,Anthony,James,1957-04-12 00:00:00,Brussels,Brussels-Capital,Belgium,322713,9371469569,Anthony.James@gmail.com,2020-02-07 00:00:00
57095,Mark,Davis,1960-03-13 00:00:00,Brussels,Brussels-Capital,Belgium,943158,8396048181,Mark.Davis@gmail.com,2020-02-09 00:00:00
57096,Donald,Rodriguez,1952-01-29 00:00:00,Patras,Western Greece,Greece,127461,9919606399,Donald.Rodriguez@gmail.com,2020-02-09 00:00:00
57097,Steven,Smith,1995-07-13 00:00:00,Braga,Braga,Portugal,531783,7287587361,Steven.Smith@gmail.com,2020-02-10 00:00:00
57098,Paul,Walker,1960-09-21 00:00:00,Seattle,Washington,United States,427696,8892185286,Paul.Walker@gmail.com,2020-02-11 00:00:00
57099,Andrew,Martinez,1998-03-04 00:00:00,Bruges,West Flanders,Belgium,717216,9289999420,Andrew.Martinez@gmail.com,2020-02-11 00:00:00
57100,Joshua,Fernandez,1994-05-07 00:00:00,Braga,Braga,Portugal,700077,7810204569,Joshua.Fernandez@gmail.com,2020-02-13 00:00:00
57101,Kenneth,Hernandez,1987-08-07 00:00:00,Belfast,Belfast,Northern Ireland,462012,6036253941,Kenneth.Hernandez@gmail.com,2020-02-14 00:00:00
57102,Kevin,Hart,1967-04-02 00:00:00,Galway,Galway,Ireland,343088,6130341879,Kevin.Hart@gmail.com,2020-02-16 00:00:00
57103,Brian,Lopez,1952-01-26 00:00:00,Bremen,Bremen,Germany,627019,8605500276,Brian.Lopez@gmail.com,2020-02-17 00:00:00
57104,George,Clooney,1970-07-05 00:00:00,Amsterdam,North Holland,Netherlands,811771,9515240360,George.Clooney@gmail.com,2020-02-18 00:00:00
57105,Edward,Gonzalez,1972-07-08 00:00:00,Patras,Western Greece,Greece,588452,9234402314,Edward.Gonzalez@gmail.com,2020-02-20 00:00:00
57106,Ronald,Reagan,1976-11-09 00:00:00,Bucharest,Bucharest,Romania,335722,9379225699,Ronald.Reagan@gmail.com,2020-02-21 00:00:00
57107,Timothy,Wilson,1970-05-29 00:00:00,Zurich,Zurich,Switzerland,884138,8426394400,Timothy.Wilson@gmail.com,2020-02-22 00:00:00
57108,Jason,Derulo,1989-02-27 00:00:00,San Francisco,California,United States,581225,7263791644,Jason.Derulo@gmail.com,2020-02-22 00:00:00
57109,Jeffrey,Anderson,1996-03-12 00:00:00,Houston,Texas,United States,331823,7768296308,Jeffrey.Anderson@gmail.com,2020-02-23 00:00:00
